suggested_calories,suggested_carbs,suggested_protein,suggested_fat
3400,203.12224880115394,131.14662525008572,73.1962212110258
2945,269.71116278335273,61.45611626816522,70.02292409989661
3434,182.18645819660952,72.53555331361719,75.87550867882604
1512,346.3868948344243,118.38614992484061,60.72810673966075
3215,235.40531540222088,135.60776720282615,89.79527938890342
2377,353.3350289545501,138.84898935144025,82.5122029885664
1372,114.559710517865,50.6913610660505,67.00417284499852
2896,389.3142589530892,73.82134274549033,62.176749194790375
2706,229.4196415943575,149.92541288626876,83.34668678331246
2885,399.21796108202625,126.6016356738111,65.85724178194796
2341,301.20180115905447,109.22420616036106,77.57328060178332
2950,347.40923464897537,104.64143345267537,98.89827956630347
1943,352.8479166480654,113.3551619820891,88.0222970676788
2745,158.77892790872443,84.84556134792368,52.45887048334388
2871,282.5208807963639,146.19026246868782,75.89166274301469
1301,202.39417912776662,58.35697350317204,70.14401566339562
1566,138.33287871081575,65.48226999154276,45.47794337189157
1348,119.26383551112508,86.97561001124998,87.5146003903338
2714,261.9600184719339,77.20841215505752,98.53773966496962
3037,276.3259343610579,51.825431444177084,69.59015127976713
3157,118.98253750125083,103.03033045626464,95.98361106301672
2267,294.6836366805644,72.7265482360595,57.031549854880936
2010,228.62964839830826,141.49515888216393,76.64452952320426
1620,311.336310372945,64.05629910598721,66.45609982258384
2302,210.8705274818518,128.88959593868523,72.99313455265701
2450,309.6845720984596,111.60597895368926,42.13875429081757
3275,119.07262076580267,100.51296486400892,63.67667305946959
2546,283.1895046899588,144.84926426466063,60.209915529857426
2343,351.68847237933653,116.57628428021715,59.19294300786039
2776,194.61834283846628,72.91914991785116,87.90696982073311
2941,338.34823850713894,95.22104277402244,85.41290256959306
2449,289.73068235912433,64.41230030028593,54.030670685695014
2625,235.31452912022914,109.04911206673671,55.45496717370076
1894,238.9898075984603,111.44283709710041,64.28377702654504
2970,330.63260640562396,87.98712733777755,88.50827988465072
3059,226.13840960301292,74.17629442410514,56.94042539292769
2128,269.2256872073548,116.84363627015793,65.21675893536047
2588,259.35796330400865,121.94455348533558,51.42480617776272
1813,207.9232662225757,87.41135041108146,60.61362107535071
1977,106.93313669282834,75.3026065349921,96.74910228793496
1398,369.87020531125256,53.768822310926176,73.6322446193843
2226,360.41680131021036,113.90201355584541,67.13045838394228
2326,125.12024957606076,54.24525145848188,42.58963036241835
1845,327.85733657878563,82.80054546226904,75.07915794335484
1895,259.72066316009284,80.74364817804143,42.8753270694267
2010,193.23323998908643,117.55752345026481,76.47114071880264
1757,268.5129820554963,128.73662174121029,92.86406442897709
2599,201.90260223789903,129.57972856381772,76.6711024333913
3247,137.97733611407142,62.22555460237287,49.51971059661825
3409,250.64655272946962,119.40994914070687,85.464748059004
1551,254.86376870466717,123.30976281278933,91.42366360161513
3404,319.77334308178524,61.375678427428184,45.23165924499081
3181,172.44422608454005,138.4848920284486,93.73807324635789
1233,225.42151499384806,59.64814967412126,54.8697687550238
3486,263.73451364443787,71.2889431282554,69.7165159882464
2031,281.92165372997107,115.20421438797891,42.8053374326167
3303,193.9350048025089,58.255394257491304,93.26626398548117
2383,263.69810424459047,84.9003068642808,85.61009904299702
1734,398.56324657389337,53.71193238043552,92.68706456563602
2428,272.90689512268784,93.8548616917293,50.27345584760521
2401,266.7166879212557,111.54736682305625,72.22080744628397
2283,230.84643170429166,74.04656282931825,63.68512757255718
2438,333.71313229296777,87.7493978659212,47.97776261440043
2180,343.79874947131,87.54576300062133,55.687006431911286
2071,112.45785594326311,97.48421148422645,55.47885301332283
1796,162.65163773560457,141.52202201627318,49.32485203562913
3021,235.98338510678965,131.2712592009878,67.66136423515272
1535,119.40613220200768,86.92072566075962,76.96067370168316
2912,146.3925143873734,51.77789083463099,70.83799309705792
1786,156.4759592189406,131.76795784238192,47.26635473890563
3308,347.8351771817322,132.82472045449214,56.85402404767137
1214,225.3146691922525,131.0658932915375,85.41516240771469
1895,272.8673128196107,121.12185505928636,67.1242879166169
2332,123.85451266188062,88.91273568057747,49.20889136719969
1881,150.96542758485356,81.60178664705083,64.27814296681805
2096,184.80453833849742,54.74756991323901,96.04225631874316
2366,379.4888961349912,58.33908436367542,47.7778714892579
2990,114.86465225427375,107.42597594009915,42.58337553643199
2849,369.8225445914028,131.2454405827532,90.49011069332187
2545,131.92573407840538,55.32417200708228,75.49612925353321
